Ticker,In_SP500,In_NASDAQ100
EQIX,True,False
NVDA,True,False
C,True,False
DXCM,True,False
EBAY,True,False
TXT,True,False
UBER,True,False
WMT,True,False
VTRS,True,False
NUE,True,False
WSM,True,False
KVUE,True,False
HPQ,True,False
CINF,True,False
DG,True,False
PCAR,True,False
CFG,True,False
MO,True,False
ATO,True,False
WELL,True,False
MNST,True,False
FANG,True,False
IRM,True,False
CRL,True,False
DRI,True,False
DUK,True,False
OXY,True,False
LULU,True,False
JBHT,True,False
FRT,True,False
EQT,True,False
DASH,True,False
NXPI,True,False
VTR,True,False
GWW,True,False
STX,True,False
CL,True,False
NEE,True,False
AKAM,True,False
COIN,True,False
TRMB,True,False
EMR,True,False
SOLV,True,False
GEHC,True,False
HRL,True,False
WAB,True,False
SWK,True,False
NVR,True,False
F,True,False
UPS,True,False
NI,True,False
BLDR,True,False
BA,True,False
MTD,True,False
BKR,True,False
JPM,True,False
INTU,True,False
AXON,True,False
JNJ,True,False
ED,True,False
GD,True,False
DPZ,True,False
MTCH,True,False
DIS,True,False
CSX,True,False
KEYS,True,False
PAYX,True,False
COST,True,False
WAT,True,False
MSCI,True,False
AMAT,True,False
CTVA,True,False
HSIC,True,False
J,True,False
GNRC,True,False
KMI,True,False
INTC,True,False
ULTA,True,False
AIZ,True,False
CMS,True,False
MCO,True,False
IBM,True,False
BALL,True,False
KR,True,False
IR,True,False
EXPE,True,False
EA,True,False
HIG,True,False
PSX,True,False
CEG,True,False
CVS,True,False
PFG,True,False
MOH,True,False
EL,True,False
ADP,True,False
GL,True,False
DLTR,True,False
SMCI,True,False
TDY,True,False
LRCX,True,False
SJM,True,False
BXP,True,False
NCLH,True,False
BG,True,False
FTNT,True,False
EME,True,False
CMI,True,False
HD,True,False
MGM,True,False
AZO,True,False
CMG,True,False
DAL,True,False
CMCSA,True,False
NSC,True,False
IT,True,False
CTAS,True,False
STLD,True,False
DHI,True,False
GE,True,False
RL,True,False
AMD,True,False
MS,True,False
O,True,False
FIS,True,False
INCY,True,False
